Number,Direction,Feet,boundary
495,23.73656142,375.33,Pleasant Hill Rural Fire Protection District
496,10.71379926,256.89,Pleasant Hill Rural Fire Protection District
497,359.5287685,331.58,Pleasant Hill Rural Fire Protection District
498,347.5698959,203.31,Pleasant Hill Rural Fire Protection District
499,225.9500802,259.19,Pleasant Hill Rural Fire Protection District
500,346.1268734,276.51,Pleasant Hill Rural Fire Protection District
501,92.03071565,189.87,Pleasant Hill Rural Fire Protection District
502,0.840580862,241.51,Pleasant Hill Rural Fire Protection District
503,336.3012076,591.01,0
504,321.3169705,254.24,0
505,229.4393985,264.9,Pleasant Hill Rural Fire Protection District
506,272.0977822,516.83,0
507,181.6223757,780.68,0
508,272.1654256,1301.04,0
509,276.061065,712.44,0
510,0.940492848,1296.71,0
511,1.669106334,1265.31,Pleasant Hill Rural Fire Protection District
512,68.64957965,181.93,Pleasant Hill Rural Fire Protection District
513,105.4068081,572.68,Pleasant Hill Rural Fire Protection District
514,1.726240366,1178.3,Pleasant Hill Rural Fire Protection District
515,324.9565997,748.62,Pleasant Hill Rural Fire Protection District
516,329.2645023,479.24,Pleasant Hill Rural Fire Protection District
517,330.2550343,359.03,Pleasant Hill Rural Fire Protection District
518,316.169159,385.82,Pleasant Hill Rural Fire Protection District
